# freq_THz  G_total  G_Al  G_N  G_Ga
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=2; block_duration_ps=4.09600000; df_THz=0.24414062; total_equals_sum_of_partials=True
5.4931640625e+01 1.9925699829e-05 5.6085177074e-06 1.4175675349e-05 1.4150677226e-07
5.5175781250e+01 1.4242941390e-05 3.9904946459e-06 1.0150061646e-05 1.0238509835e-07
5.5419921875e+01 1.1571436142e-05 3.2289390520e-06 8.2581922515e-06 8.4304838919e-08
5.5664062500e+01 1.0037554679e-05 2.7958609083e-06 7.1666439325e-06 7.5049837889e-08
5.5908203125e+01 9.0337473475e-06 2.5065690625e-06 6.4575820555e-06 6.9596229449e-08
5.6152343750e+01 8.2945967837e-06 2.2941013912e-06 5.9352178772e-06 6.5277515293e-08
5.6396484375e+01 7.7027867089e-06 2.1251651830e-06 5.5157027919e-06 6.1918734026e-08
5.6640625000e+01 7.1422353437e-06 1.9693056826e-06 5.1139970105e-06 5.8932650663e-08
5.6884765625e+01 6.6721755860e-06 1.8419031548e-06 4.7747986496e-06 5.5473781688e-08
5.7128906250e+01 6.2658342849e-06 1.7392284607e-06 4.4734581067e-06 5.3147717527e-08
5.7373046875e+01 5.8626184046e-06 1.6271285150e-06 4.1843725685e-06 5.1117321145e-08
5.7617187500e+01 5.4562217979e-06 1.5090119285e-06 3.8977743266e-06 4.9435542820e-08
5.7861328125e+01 5.1142115743e-06 1.4249703021e-06 3.6422310590e-06 4.7010213274e-08
5.8105468750e+01 4.8391110500e-06 1.3580811666e-06 3.4368550315e-06 4.4174851876e-08
5.8349609375e+01 4.6120125717e-06 1.2975551763e-06 3.2722518382e-06 4.2205557229e-08
5.8593750000e+01 4.4127127255e-06 1.2445724272e-06 3.1275430067e-06 4.0597291580e-08
5.8837890625e+01 4.2529514730e-06 1.2040692143e-06 3.0105924234e-06 3.8289835240e-08
5.9082031250e+01 4.0889018648e-06 1.1613305576e-06 2.8914976891e-06 3.6073618100e-08
5.9326171875e+01 3.9619127657e-06 1.1254930992e-06 2.8013171306e-06 3.5102535873e-08
5.9570312500e+01 3.8609701292e-06 1.0982395415e-06 2.7285224581e-06 3.4208129576e-08
5.9814453125e+01 3.7595682460e-06 1.0685516298e-06 2.6582535143e-06 3.2763101917e-08
6.0058593750e+01 3.6515261584e-06 1.0383875093e-06 2.5819967014e-06 3.1141947682e-08
6.0302734375e+01 3.5888905316e-06 1.0228981604e-06 2.5363974878e-06 2.9594883449e-08
6.0546875000e+01 3.5205072550e-06 1.0024067350e-06 2.4891356521e-06 2.8964867841e-08
6.0791015625e+01 3.4288453623e-06 9.7542779667e-07 2.4256201477e-06 2.7797417881e-08
6.1035156250e+01 3.3556885396e-06 9.5498448462e-07 2.3737087548e-06 2.6995300216e-08
6.1279296875e+01 3.2467565811e-06 9.2414838421e-07 2.2966090381e-06 2.5999158866e-08
6.1523437500e+01 3.1624523379e-06 9.0270520711e-07 2.2346739878e-06 2.5073143008e-08
