# freq_THz  G_total_s  G_B_s  G_Al_s  G_N_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.38; mass_weighted=True; primitive_atoms=2; total_equals_sum_of_partials=True
5.1269531250e+01 3.3910168974e-04 7.1064768187e-05 7.7873394333e-05 1.9016352722e-04
5.1513671875e+01 3.2889631906e-04 6.8438262335e-05 7.5153593840e-05 1.8530446288e-04
5.1757812500e+01 3.2021632655e-04 6.5868302600e-05 7.2810380707e-05 1.8153764324e-04
5.2001953125e+01 3.1426448803e-04 6.3468210537e-05 7.1151960869e-05 1.7964431662e-04
5.2246093750e+01 3.1179332203e-04 6.1312537511e-05 7.0383949517e-05 1.8009683500e-04
5.2490234375e+01 3.1201309978e-04 5.9430920879e-05 7.0291243388e-05 1.8229093551e-04
5.2734375000e+01 3.1212748553e-04 5.7798544281e-05 7.0110665615e-05 1.8421827563e-04
5.2978515625e+01 3.0858362576e-04 5.6373062035e-05 6.8877569461e-05 1.8333299426e-04
5.3222656250e+01 2.9897210158e-04 5.5114819188e-05 6.5947454784e-05 1.7790982761e-04
5.3466796875e+01 2.8282956390e-04 5.3937327811e-05 6.1239909191e-05 1.6765232690e-04
5.3710937500e+01 2.6133666259e-04 5.2718206705e-05 5.5161895320e-05 1.5345656057e-04
5.3955078125e+01 2.3677159478e-04 5.1419097077e-05 4.8393218916e-05 1.3695927878e-04
5.4199218750e+01 2.1176466343e-04 5.0124178463e-05 4.1619966562e-05 1.2002051840e-04
5.4443359375e+01 1.8835302453e-04 4.8897689250e-05 3.5317235202e-05 1.0413810008e-04
5.4687500000e+01 1.6751078821e-04 4.7680640261e-05 2.9702401911e-05 9.0127746042e-05
5.4931640625e+01 1.4940886061e-04 4.6364569452e-05 2.4831405515e-05 7.8212885640e-05
5.5175781250e+01 1.3381817855e-04 4.4844079463e-05 2.0709259367e-05 6.8264839717e-05
5.5419921875e+01 1.2024816203e-04 4.2963674271e-05 1.7323328222e-05 5.9961159540e-05
5.5664062500e+01 1.0807046331e-04 4.0563028623e-05 1.4615506417e-05 5.2891928270e-05
5.5908203125e+01 9.6833082795e-05 3.7648108972e-05 1.2472474003e-05 4.6712499821e-05
5.6152343750e+01 8.6448873355e-05 3.4425171507e-05 1.0764620700e-05 4.1259081148e-05
5.6396484375e+01 7.7065306841e-05 3.1155483291e-05 9.3931981455e-06 3.6516625404e-05
5.6640625000e+01 6.8910713044e-05 2.8086229835e-05 8.2994637302e-06 3.2525019479e-05
5.6884765625e+01 6.2233516774e-05 2.5474053376e-05 7.4376408376e-06 2.9321822561e-05
5.7128906250e+01 5.7163418104e-05 2.3508520333e-05 6.7541080277e-06 2.6900789744e-05
5.7373046875e+01 5.3558266709e-05 2.2182490762e-05 6.1987192444e-06 2.5177056703e-05
5.7617187500e+01 5.0995822434e-05 2.1280266739e-05 5.7391392846e-06 2.3976416410e-05
5.7861328125e+01 4.8863949886e-05 2.0480867157e-05 5.3433379508e-06 2.3039744778e-05
5.8105468750e+01 4.6521808878e-05 1.9493318286e-05 4.9609127046e-06 2.2067577888e-05
5.8349609375e+01 4.3584416044e-05 1.8190079639e-05 4.5486100886e-06 2.0845726316e-05
5.8593750000e+01 4.0116593180e-05 1.6657304064e-05 4.1053058461e-06 1.9353983269e-05
5.8837890625e+01 3.6457836831e-05 1.5081142343e-05 3.6610021050e-06 1.7715692383e-05
5.9082031250e+01 3.2911216783e-05 1.3601112253e-05 3.2428422224e-06 1.6067262308e-05
5.9326171875e+01 2.9682720300e-05 1.2302656349e-05 2.8640321935e-06 1.4516031757e-05
5.9570312500e+01 2.6949220235e-05 1.1262036230e-05 2.5307497549e-06 1.3156434249e-05
