# freq_THz  G_total  G_Al  G_N
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=2; block_duration_ps=4.09600000; df_THz=0.24414062; total_equals_sum_of_partials=True
6.2011718750e+01 2.7757011251e-06 8.5857305685e-07 1.9171280683e-06
6.2255859375e+01 2.6804247396e-06 8.2577010251e-07 1.8546546371e-06
6.2500000000e+01 2.6128468525e-06 8.0483822471e-07 1.8080086278e-06
6.2744140625e+01 2.5785331810e-06 7.9394231493e-07 1.7845908661e-06
6.2988281250e+01 2.5439082929e-06 7.7956261375e-07 1.7643456791e-06
6.3232421875e+01 2.5305898312e-06 7.7405058333e-07 1.7565392479e-06
6.3476562500e+01 2.5179946249e-06 7.6881837509e-07 1.7491762498e-06
6.3720703125e+01 2.4976509282e-06 7.5904070565e-07 1.7386102226e-06
6.3964843750e+01 2.4483574660e-06 7.4108109775e-07 1.7072763683e-06
6.4208984375e+01 2.3966810206e-06 7.2207610541e-07 1.6746049152e-06
6.4453125000e+01 2.3319914881e-06 7.0136230120e-07 1.6306291869e-06
6.4697265625e+01 2.2471879968e-06 6.7219332781e-07 1.5749946690e-06
6.4941406250e+01 2.1481715515e-06 6.3881608676e-07 1.5093554648e-06
6.5185546875e+01 2.0416273702e-06 6.0156074146e-07 1.4400666287e-06
6.5429687500e+01 1.9093453309e-06 5.5603541872e-07 1.3533099122e-06
6.5673828125e+01 1.7714669469e-06 5.0999205248e-07 1.2614748944e-06
6.5917968750e+01 1.6478314540e-06 4.7104575208e-07 1.1767857020e-06
6.6162109375e+01 1.5259360631e-06 4.3301251606e-07 1.0929235471e-06
6.6406250000e+01 1.4306446813e-06 4.0057662749e-07 1.0300680538e-06
6.6650390625e+01 1.3485968013e-06 3.7477764128e-07 9.7381916005e-07
6.6894531250e+01 1.2734810311e-06 3.5038105950e-07 9.2309997165e-07
6.7138671875e+01 1.2157928559e-06 3.2940827986e-07 8.8638457600e-07
6.7382812500e+01 1.1720728204e-06 3.1405756887e-07 8.5801525152e-07
