# freq_THz  G_total_s  G_Al_s  G_N_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.38; mass_weighted=True; primitive_atoms=2; total_equals_sum_of_species=True
1.7028808594e+01 3.3446127027e-03 1.2890834809e-03 2.0555292218e-03
1.7089843750e+01 3.3185521473e-03 1.2500818307e-03 2.0684703166e-03
1.7150878906e+01 3.2969181233e-03 1.2142214201e-03 2.0826967032e-03
1.7211914062e+01 3.2792840516e-03 1.1811866901e-03 2.0980973615e-03
1.7272949219e+01 3.2652252854e-03 1.1506669651e-03 2.1145583203e-03
1.7333984375e+01 3.2543477500e-03 1.1223642254e-03 2.1319835246e-03
1.7395019531e+01 3.2463207842e-03 1.0960064670e-03 2.1503143172e-03
1.7456054688e+01 3.2409064687e-03 1.0713582948e-03 2.1695481739e-03
1.7517089844e+01 3.2379764517e-03 1.0482256803e-03 2.1897507714e-03
1.7578125000e+01 3.2375239361e-03 1.0264606492e-03 2.2110632869e-03
1.7639160156e+01 3.2396658617e-03 1.0059630616e-03 2.2337028001e-03
1.7700195312e+01 3.2446378790e-03 9.8667639873e-04 2.2579614802e-03
1.7761230469e+01 3.2527804342e-03 9.6857774831e-04 2.2842026859e-03
1.7822265625e+01 3.2645273910e-03 9.5167401753e-04 2.3128533735e-03
1.7883300781e+01 3.2803926531e-03 9.3599190342e-04 2.3444007497e-03
1.7944335938e+01 3.3009476916e-03 9.2156653776e-04 2.3793811539e-03
1.8005371094e+01 3.3268301491e-03 9.0843805199e-04 2.4183920971e-03
1.8066406250e+01 3.3587545984e-03 8.9664369775e-04 2.4621109007e-03
1.8127441406e+01 3.3975471281e-03 8.8621551440e-04 2.5113316137e-03
1.8188476562e+01 3.4444214158e-03 8.7718165347e-04 2.5672397623e-03
1.8249511719e+01 3.5014245004e-03 8.6957041981e-04 2.6318540806e-03
1.8310546875e+01 3.5709781620e-03 8.6341497461e-04 2.7075631874e-03
1.8371582031e+01 3.6559851715e-03 8.5875686980e-04 2.7972283017e-03
1.8432617188e+01 3.7614628730e-03 8.5566907369e-04 2.9057937993e-03
1.8493652344e+01 3.8940315321e-03 8.5424186722e-04 3.0397896649e-03
1.8554687500e+01 4.0642813394e-03 8.5464656870e-04 3.2096347707e-03
1.8615722656e+01 4.2875944437e-03 8.5714183463e-04 3.4304526091e-03
1.8676757812e+01 4.5858642564e-03 8.6212143998e-04 3.7237428164e-03
1.8737792969e+01 4.9899637918e-03 8.7018754521e-04 4.1197762466e-03
1.8798828125e+01 5.5411123200e-03 8.8218178607e-04 4.6589305339e-03
1.8859863281e+01 6.2936489182e-03 8.9928607979e-04 5.3943628384e-03
1.8920898438e+01 7.3177824604e-03 9.2313934192e-04 6.3946431184e-03
